nome_tabela,n_zeros
gravidez_adolescencia,7840
obitos_acidentes,5294
violencia_indigenas,5167
obitos_gravidez,5142
obitos_cancer,3944
trabalho_infantil,3612
obitos_ate_5_anos,3427
assasinatos_jovens,3304
acoes_grupos,3141
violencia_infantil,3126
desnutricao,2920
obitos_covid,2547
sucidios,2448
assasinatos_gerais,1929
doencas_infecciosas,1909
violencia_feminina,1834
direitos_humanos,1529
abandono_ef,1005
obitos_diabetes_mellitus,893
obitos_doencas_respiratorias,380
abastecimento_agua,279
reprovacao_ef,251
ideb,195
obitos_aparelho_circulatorio,101
cultura,35
vunerabilidade_familiar,9
subnutricao,6
frota_onibus_microonibus,4
densidade_telefone_fixo,2
proporcao_eleitos,2
cad_unico_sanitario,1
tdi_ef,1
rais_mulheres,0
cad_unico_agua,0
cad_unico_iluminacao,0
cad_unico_lixo,0
cad_unico_parede,0
densidade_telefone_movel,0
rais_ensino_superior,0
gases_co2_per_capita,0
densidade_tv_assinatura,0
tdi_em,0
densidade_banda_larga,0
cad_unico_piso,0
